"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION"
"RITES Limited","72.2","27.8","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174459_768973_17012023010959_WEB.xml"
"Sarveshwar Foods Limited","68.2","31.79","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174461_768977_17012023011021_WEB.xml"
"Garware Technical Fibres Limited","52.7","47.3","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174462_768981_17012023011214_WEB.xml"
"Tribhovandas Bhimji Zaveri Limited","74.12","25.88","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174463_768989_17012023011516_WEB.xml"
"Brooks Laboratories Limited","66.41","33.59","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174464_769010_17012023012250_WEB.xml"
"Aavas Financiers Limited","39.15","60.85","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174465_769030_17012023012645_WEB.xml"
"Aditya Birla Sun Life AMC Limited","86.5","13.5","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174466_769034_17012023012808_WEB.xml"
"Eldeco Housing And Industries Limited","54.83","45.17","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174467_769045_17012023013027_WEB.xml"
"MRO-TEK Realty Limited","55.04","44.96","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174468_769058_17012023013307_WEB.xml"
"Hikal Limited","68.83","31.17","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174469_769061_17012023013321_WEB.xml"
"Eurotex Industries and Exports Limited","70.99","29.01","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174470_769064_17012023013412_WEB.xml"
"Hindustan Unilever Limited","61.9","38.1","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174623_770523_18012023093416_WEB.xml"
"21st Century Management Services Limited","61.29","38.71","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173921_763138_12012023114034_WEB.xml"
"eMudhra Limited","61.03","38.97","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173571_758847_09012023034811_WEB.xml"
"Quintegra Solutions Limited","2.48","97.52","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173572_758854_09012023034956_WEB.xml"
"Usha Martin Education & Solutions Limited","40.75","59.25","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173573_758860_09012023035137_WEB.xml"
"Emami Realty Limited","63.46","36.54","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173574_758881_09012023035447_WEB.xml"
"Rain Industries Limited","41.14","58.86","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173575_758901_09012023040106_WEB.xml"
"Gokaldas Exports Limited","20.97","79.03","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173576_758903_09012023040152_WEB.xml"
"J.Kumar Infraprojects Limited","46.65","53.35","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173578_758922_09012023040538_WEB.xml"
"Ashoka Buildcon Limited","54.48","45.52","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/-"
"Vaidya Sane Ayurved Laboratories Limited","66.34","33.68","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173749_761290_10012023113717_WEB.xml"
"Adani Wilmar Limited","87.94","12.06","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173922_763144_12012023114134_WEB.xml"
"Vijaya Diagnostic Centre Limited","55.01","44.99","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173923_763148_12012023114157_WEB.xml"
"Wealth First Portfolio Managers Limited","74","25.99","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173925_763188_12012023115440_WEB.xml"
"Tata Elxsi Limited","43.92","56.08","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174587_770141_17012023060458_WEB.xml"
"Menon Bearings Limited","71.25","28.75","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174608_770370_17012023071134_WEB.xml"
"Diligent Media Corporation Limited","62.17","37.83","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174609_770378_17012023071333_WEB.xml"
"Sundaram Clayton Limited","74.46","25.54","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174610_770381_17012023071742_WEB.xml"
"Electrotherm (India) Limited","31.04","68.96","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174611_770383_17012023072503_WEB.xml"
"Mahindra & Mahindra Financial Services Limited","52.16","47.67","0.18","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174612_770389_17012023072855_WEB.xml"
"Gillette India Limited","75","25","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174613_770397_17012023073422_WEB.xml"
"Country Condo's Limited","53.86","46.14","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174614_770414_17012023074909_WEB.xml"
"HCL Technologies Limited","60.72","39.05","0.23","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174620_770467_17012023094840_WEB.xml"
"Hindustan Petroleum Corporation Limited","54.9","45.1","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174626_770561_18012023102219_WEB.xml"
"NRB Industrial Bearings Limited","73.85","26.15","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174627_770563_18012023102333_WEB.xml"
"Softtech Engineers Limited","40.45","59.55","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174629_770568_18012023103415_WEB.xml"
"Servotech Power Systems Limited","60.59","39.41","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174630_770574_18012023103655_WEB.xml"
"Homesfy Realty Limited","52.8","47.21","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174649_770728_18012023121335_WEB.xml"
"Mazagon Dock Shipbuilders Limited","84.83","15.17","0","Revised","31-DEC-2022","12-JAN-2023","13-JAN-2023","https://archives.nseindia.com/corporate/xbrl/SHP_174002_763947_12012023040827_WEB.xml"
"QMS Medical Allied Services Limited","73.67","26.33","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174232_766477_13012023064114_WEB.xml"
"Saksoft Limited","68.12","26.84","5.04","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174233_766494_13012023065023_WEB.xml"
"Macrotech Developers Limited","75","25","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174234_766499_13012023065217_WEB.xml"
"Healthcare Global Enterprises Limited","71.38","28.62","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174235_766506_13012023065335_WEB.xml"
"ADF Foods Limited","36.59","63.41","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174236_766524_13012023070255_WEB.xml"
"Balaji Amines Limited","53.7","46.3","0","-","31-DEC-2022","16-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174412_768499_16012023081842_WEB.xml"
"Coral India Finance & Housing Limited","75","25","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174699_771181_18012023031541_WEB.xml"
"SPML Infra Limited","36.1","63.9","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174700_771203_18012023032020_WEB.xml"
"Shriram Properties Limited","28","72","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174701_771217_18012023032359_WEB.xml"
"Puravankara Limited","75","25","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174702_771219_18012023032423_WEB.xml"
"ITI Limited","90.17","9.83","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174703_771230_18012023032652_WEB.xml"
"CMS Info Systems Limited","60.98","39.02","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174704_771236_18012023032812_WEB.xml"
"INEOS Styrolution India Limited","62.73","37.27","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174705_771252_18012023033308_WEB.xml"
"MMTC Limited","89.93","10.07","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174706_771254_18012023033314_WEB.xml"
"Maan Aluminium Limited","66.04","33.96","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174707_771256_18012023033336_WEB.xml"
"Dynamic Cables Limited","74.41","25.59","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174708_771258_18012023033431_WEB.xml"
"B&B Triplewall Containers Limited","71.43","28.57","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174709_771271_18012023033725_WEB.xml"
"West Coast Paper Mills Limited","56.52","43.48","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174710_771273_18012023033733_WEB.xml"
"Mazda Limited","48.34","51.66","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174712_771276_18012023033816_WEB.xml"
"Wipro Limited","72.94","26.87","0.19","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174767_771671_18012023051047_WEB.xml"
"RattanIndia Enterprises Limited","74.86","25.14","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174768_771680_18012023051209_WEB.xml"
"Chemplast Sanmar Limited","54.99","45.01","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174769_771689_18012023051343_WEB.xml"
"Khandwala Securities Limited","47.67","52.33","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174770_771698_18012023051549_WEB.xml"
"NBCC (India) Limited","61.75","38.25","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174771_771702_18012023051636_WEB.xml"
"ICICI Bank Limited","0","100","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174773_771716_18012023052050_WEB.xml"
"Touchwood Entertainment Limited","70.07","29.93","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174775_771737_18012023052719_WEB.xml"
"Ksolves India Limited","58.94","41.06","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173903_762972_12012023122240_WEB.xml"
"OCL Iron and Steel Limited","35.44","64.56","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173926_763205_12012023115654_WEB.xml"
"Salasar Exteriors and Contour Limited","70.81","29.19","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173928_763224_12012023120004_WEB.xml"
"Balkrishna Industries Limited","58.29","41.71","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173929_763228_12012023120045_WEB.xml"
"Shiva Texyarn Limited","74.04","25.96","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173930_763244_12012023120551_WEB.xml"
"Repro India Limited","51.42","48.58","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173931_763246_12012023120620_WEB.xml"
"Amber Enterprises India Limited","40.31","59.69","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173932_763255_12012023120959_WEB.xml"
"Emmbi Industries Limited","58.38","41.62","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174121_765312_13012023023253_WEB.xml"
"Bajaj Hindusthan Sugar Limited","24.95","74.91","0.14","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174122_765319_13012023023412_WEB.xml"
"AGI Greenpac Limited","60.24","39.76","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174123_765324_13012023023613_WEB.xml"
"Mishra Dhatu Nigam Limited","74","26","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174181_765912_13012023044314_WEB.xml"
"Sanofi India Limited","60.4","39.6","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174182_765916_13012023044439_WEB.xml"
"Kansai Nerolac Paints Limited","74.99","25.01","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174183_765918_13012023044606_WEB.xml"
"CARYSIL LIMITED","43.91","56.09","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174184_765921_13012023044634_WEB.xml"
"Ansal Properties & Infrastructure Limited","48.77","51.23","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174650_770751_18012023122013_WEB.xml"
"FDC Limited","69.5","30.5","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174651_770760_18012023122333_WEB.xml"
"Pearl Global Industries Limited","66.58","33.42","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174652_770764_18012023122520_WEB.xml"
"AVRO INDIA LIMITED","70.37","29.63","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174653_770782_18012023122919_WEB.xml"
"Rajnandini Metal Limited","73.24","26.76","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174654_770787_18012023123012_WEB.xml"
"JBF Industries Limited","22.91","77.09","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174655_770798_18012023123330_WEB.xml"
"Berger Paints (I) Limited","75","25","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174656_770804_18012023123559_WEB.xml"
"Narayana Hrudayalaya Ltd.","63.85","35.52","0.63","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174714_771289_18012023034024_WEB.xml"
"Aban Offshore Limited","46","54","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174716_771297_18012023034116_WEB.xml"
"Techindia Nirman Limited","18.42","81.58","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174717_771306_18012023034302_WEB.xml"
"3M India Limited","75","25","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174718_771323_18012023034534_WEB.xml"
"V.S.T Tillers Tractors Limited","55.57","44.43","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174719_771325_18012023034634_WEB.xml"
"Cyber Media Research & Services Limited","41.66","58.34","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174720_771328_18012023034655_WEB.xml"
"Peninsula Land Limited","61.61","38.39","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174721_771332_18012023034837_WEB.xml"
"Mahindra EPC Irrigation Limited","54.31","45.69","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173606_759479_09012023064202_WEB.xml"
"Aditya Birla Money Limited","73.6","26.4","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173607_759492_09012023064740_WEB.xml"
"ANDHRA PAPER LIMITED","72.24","27.76","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173608_759497_09012023065118_WEB.xml"
"Stylam Industries Limited","54.61","45.39","0","-","31-DEC-2022","09-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173609_759499_09012023065315_WEB.xml"
"Surya Roshni Limited","62.96","35.43","1.61","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173672_760403_10012023031646_WEB.xml"
"Wonder Electricals Limited","71.79","28.21","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173673_760431_10012023032628_WEB.xml"
"Dhanlaxmi Bank Limited","0","100","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173674_760435_10012023032708_WEB.xml"
"Shiva Mills Limited","74.94","25.06","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173675_760437_10012023032948_WEB.xml"
"Zodiac Energy Limited","72.86","27.14","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173676_760448_10012023033313_WEB.xml"
"Sheela Foam Limited","72.95","27.05","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173677_760470_10012023033738_WEB.xml"
"BEML Limited","54.03","45.97","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173678_760472_10012023033755_WEB.xml"
"Yuken India Limited","52.5","47.5","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173679_760474_10012023033851_WEB.xml"
"Sarda Energy & Minerals Limited","72.64","27.36","0","-","31-DEC-2022","14-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174256_766827_14012023011314_WEB.xml"
"Career Point Limited","63.68","36.32","0","-","31-DEC-2022","14-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174257_766829_14012023011652_WEB.xml"
"Cinevista Limited","67.61","32.39","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174776_771741_18012023052810_WEB.xml"
"Strides Pharma Science Limited","30.89","69.11","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174777_771745_18012023052900_WEB.xml"
"Rama Steel Tubes Limited","65.4","34.6","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174778_771749_18012023052949_WEB.xml"
"Krebs Biochemicals and Industries Limited","72.72","27.28","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174779_771757_18012023053055_WEB.xml"
"DSJ Keep Learning Limited","42.98","57.02","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174780_771758_18012023053056_WEB.xml"
"Chemcon Speciality Chemicals Limited","74.47","25.53","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174781_771762_18012023053116_WEB.xml"
"ZUARI INDUSTRIES LIMITED","56.81","43.19","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174783_771767_18012023053303_WEB.xml"
"Colgate Palmolive (India) Limited","51","49","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174784_771774_18012023053445_WEB.xml"
"Somany Ceramics Limited","54.78","45.22","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174785_771781_18012023053627_WEB.xml"
"Vascon Engineers Limited","32.2","67.8","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174787_771787_18012023053734_WEB.xml"
"Greenply Industries Limited","52.32","47.68","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174788_771789_18012023053827_WEB.xml"
"Mcleod Russel India Limited","6.25","93.75","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174789_771796_18012023054149_WEB.xml"
"Gujarat Apollo Industries Limited","55.7","44.3","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174791_771806_18012023054310_WEB.xml"
"BGR Energy Systems Limited","75","25","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174792_771808_18012023054318_WEB.xml"
"Thermax Limited","61.98","32.53","5.49","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173858_762390_11012023044037_WEB.xml"
"Quess Corp Limited","51.9","48.1","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173859_762408_11012023044432_WEB.xml"
"The Orissa Minerals Development Company Limited","50.01","49.99","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173860_762416_11012023044719_WEB.xml"
"Kesoram Industries Limited","43.4","56.6","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173861_762429_11012023044847_WEB.xml"
"Varun Beverages Limited","63.9","36.1","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173862_762432_11012023044935_WEB.xml"
"Magadh Sugar & Energy Limited","61.02","38.98","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173863_762453_11012023045543_WEB.xml"
"Arvee Laboratories (India) Limited","73.5","26.5","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173864_762457_11012023045635_WEB.xml"
"MT Educare Limited","59.12","40.88","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173865_762466_11012023045758_WEB.xml"
"Avadh Sugar & Energy Limited","60.39","39.61","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173867_762487_11012023050057_WEB.xml"
"Pressman Advertising Limited","43.09","56.91","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173868_762496_11012023050338_WEB.xml"
"Poddar Pigments Limited","62.43","37.57","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173869_762509_11012023050558_WEB.xml"
"Centum Electronics Limited","58.8","41.2","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173870_762525_11012023050850_WEB.xml"
"T T Limited","58.62","41.38","0","-","31-DEC-2022","13-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174186_765938_13012023044911_WEB.xml"
"Akzo Nobel India Limited","74.76","25.24","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174722_771334_18012023034848_WEB.xml"
"Agri-Tech (India) Limited","31.1","68.9","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174723_771342_18012023034935_WEB.xml"
"Axis Bank Limited","8.19","91.81","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174724_771347_18012023035027_WEB.xml"
"Nath Bio-Genes (India) Limited","45.6","54.4","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174725_771352_18012023035119_WEB.xml"
"Deepak Fertilizers and Petrochemicals Corporation Limited","45.46","54.54","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174726_771364_18012023035301_WEB.xml"
"Priti International Limited","66.77","33.23","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174727_771372_18012023035349_WEB.xml"
"BDR Buildcon Limited","65.39","34.61","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174728_771379_18012023035434_WEB.xml"
"Star Health and Allied Insurance Company Limited","58.28","41.72","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174729_771382_18012023035514_WEB.xml"
"Libas Consumer Products Limited","30.7","69.29","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174730_771385_18012023035728_WEB.xml"
"Kajaria Ceramics Limited","47.49","52.51","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174731_771415_18012023040313_WEB.xml"
"Dynamatic Technologies Limited","44.84","55.16","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174732_771421_18012023040419_WEB.xml"
"Rajshree Sugars & Chemicals Limited","40.66","59.34","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174733_771422_18012023040422_WEB.xml"
"Shriram Finance Limited","25.29","74.71","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174734_771425_18012023040455_WEB.xml"
"Dalmia Bharat Limited","55.86","44.14","0","-","31-DEC-2022","18-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174735_771427_18012023040502_WEB.xml"
"Foods & Inns Limited","40.44","59.56","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173965_763595_12012023024308_WEB.xml"
"Premier Limited","27.37","72.63","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173966_763606_12012023024609_WEB.xml"
"Trent Limited","37.01","62.99","0","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173967_763632_12012023025642_WEB.xml"
"Sequent Scientific Limited","52.79","46.82","0.39","-","31-DEC-2022","12-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173968_763636_12012023025755_WEB.xml"
