"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION"
"Cummins India Limited","51","49","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174913_772651_19012023124403_WEB.xml"
"Silgo Retail Limited","53.24","46.76","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174915_772655_19012023124645_WEB.xml"
"Shanti Overseas (India) Limited","52.39","47.61","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174916_772668_19012023124909_WEB.xml"
"La Opala RG Limited","65.64","34.36","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174917_772670_19012023125011_WEB.xml"
"Ind-Swift Limited","55.58","44.42","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174918_772675_19012023125238_WEB.xml"
"SVP GLOBAL TEXTILES LIMITED","67.58","32.42","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174919_772679_19012023125420_WEB.xml"
"TVS Srichakra Limited","45.57","54.43","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174920_772690_19012023125841_WEB.xml"
"Eros International Media Limited","48.05","51.95","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174921_772697_19012023010003_WEB.xml"
"Sigachi Industries Limited","48.49","51.51","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174922_772699_19012023010046_WEB.xml"
"Rite Zone Chemcon India Limited","41.89","58.11","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174925_772721_19012023010500_WEB.xml"
"Sheetal Cool Products Limited","65.58","34.42","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174926_772734_19012023010629_WEB.xml"
"Uttam Sugar Mills Limited","72.94","27.06","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174570_769949_17012023052658_WEB.xml"
"Indigo Paints Limited","54","46","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174571_769977_17012023053227_WEB.xml"
"IPCA Laboratories Limited","46.29","53.71","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174572_769987_17012023053513_WEB.xml"
"Tamilnadu PetroProducts Limited","34.54","65.46","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174573_769989_17012023053521_WEB.xml"
"Ritco Logistics Limited","73.04","26.96","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174574_770002_17012023053818_WEB.xml"
"Nahar Spinning Mills Limited","66.31","33.69","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174575_770008_17012023053941_WEB.xml"
"Sree Rayalaseema Hi-Strength Hypo Limited","62.09","37.91","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174589_770171_17012023061133_WEB.xml"
"Nalwa Sons Investments Limited","55.62","44.38","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174591_770186_17012023061452_WEB.xml"
"Orchid Pharma Limited","89.96","10.04","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174592_770192_17012023061708_WEB.xml"
"KPI Green Energy Limited","54.81","45.19","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174593_770198_17012023061845_WEB.xml"
"Heads UP Ventures Limited","33.17","66.83","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174594_770217_17012023062316_WEB.xml"
"Raymond Limited","49.15","50.85","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174595_770223_17012023062425_WEB.xml"
"Lyka Labs Limited","47.59","52.41","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174596_770235_17012023062550_WEB.xml"
"Mittal Life Style Limited","45.07","54.93","0","-","31-DEC-2022","17-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174597_770249_17012023062801_WEB.xml"
"Metro Brands Limited","74.21","25.79","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175253_775093_20012023034354_WEB.xml"
"Oswal Agro Mills Limited","41.88","58.12","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175254_775102_20012023034557_WEB.xml"
"Nesco Limited","68.54","31.46","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175255_775115_20012023034822_WEB.xml"
"Maruti Suzuki India Limited","56.37","43.63","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175257_775121_20012023035054_WEB.xml"
"Yaari Digital Integrated Services Limited","27.46","70.8","1.75","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175258_775131_20012023035446_WEB.xml"
"Suzlon Energy Limited","14.5","85.5","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175259_775136_20012023035736_WEB.xml"
"Century Enka Limited","24.8","75.2","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175260_775141_20012023035821_WEB.xml"
"Caplin Point Laboratories Limited","68.8","31.2","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175261_775146_20012023040033_WEB.xml"
"D B Realty Limited","58.14","41.86","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175262_775155_20012023040501_WEB.xml"
"New Delhi Television Limited","69.71","30.29","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175263_775161_20012023040555_WEB.xml"
"Sudarshan Chemical Industries Limited","35.82","64.18","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175264_775169_20012023040723_WEB.xml"
"Larsen & Toubro Limited","0","100","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175265_775176_20012023040930_WEB.xml"
"Cineline India Limited","67","33","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175266_775182_20012023040959_WEB.xml"
"Eimco Elecon (India) Limited","74.06","25.94","0","-","31-DEC-2022","20-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/-"
"Keynote Financial Services Limited","56.43","43.57","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173689_760628_10012023041129_WEB.xml"
"Apollo Pipes Limited","52.03","47.33","0.63","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173690_760633_10012023041410_WEB.xml"
"Genus Power Infrastructures Limited","50.43","49.57","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173692_760637_10012023041450_WEB.xml"
"PG Electroplast Limited","61.33","38.66","0.01","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173693_760656_10012023041714_WEB.xml"
"Megastar Foods Limited","68.39","31.61","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173694_760659_10012023041908_WEB.xml"
"Hester Biosciences Limited","53.73","46.27","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173695_760662_10012023041946_WEB.xml"
"CSB Bank Limited","49.72","47.39","2.88","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173696_760696_10012023042637_WEB.xml"
"Satia Industries Limited","51.79","48.21","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173698_760710_10012023042952_WEB.xml"
"Agarwal Industrial Corporation Limited","57.2","42.8","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173699_760725_10012023043200_WEB.xml"
"Vardhman Special Steels Limited","60.81","39.19","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173700_760727_10012023043217_WEB.xml"
"Rossari Biotech Limited","68.44","31.56","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173701_760729_10012023043325_WEB.xml"
"Khaitan Chemicals & Fertilizers Limited","74.99","25.01","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173702_760738_10012023043516_WEB.xml"
"Vindhya Telelinks Limited","43.54","56.46","0","-","31-DEC-2022","10-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173703_760742_10012023043642_WEB.xml"
"Atul Auto Limited","52.7","47.3","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174927_772739_19012023010738_WEB.xml"
"The Tinplate Company of India Limited","74.96","25.04","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_174928_772742_19012023010924_WEB.xml"
"Hexa Tradex Limited","92.13","7.87","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175040_773529_19012023051044_WEB.xml"
"Tata Power Company Limited","46.86","53.14","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175041_773544_19012023051355_WEB.xml"
"Jubilant Ingrevia Limited","51.47","48.33","0.19","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175042_773552_19012023051535_WEB.xml"
"Delta Manufacturing Limited","72.08","27.92","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175043_773557_19012023051647_WEB.xml"
"Oil & Natural Gas Corporation Limited","58.89","41.11","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175044_773568_19012023051948_WEB.xml"
"Poly Medicure Limited","53.33","46.67","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175045_773578_19012023052357_WEB.xml"
"REC Limited","52.63","47.37","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175046_773585_19012023052506_WEB.xml"
"Godrej Consumer Products Limited","63.21","36.79","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175047_773591_19012023052530_WEB.xml"
"Indian Railway Finance Corporation Limited","86.36","13.64","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175048_773597_19012023052556_WEB.xml"
"Bohra Industries Limited","47.07","52.93","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175049_773596_19012023052553_WEB.xml"
"Niraj Cement Structurals Limited","24.26","75.74","0","-","31-DEC-2022","19-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_175050_773604_19012023052653_WEB.xml"
"Fiberweb (India) Limited","46.33","53.67","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173796_761695_11012023124323_WEB.xml"
"Indian Bank","79.86","20.14","0","-","31-DEC-2022","11-JAN-2023",,"https://archives.nseindia.com/corporate/xbrl/SHP_173797_761697_11012023124330_WEB.xml"
